"year_mon","county","county_number","state_cost","retail_revenue","bottles_sold","liters_sold"
2016-02-01,"Cass",15,70529.25,106277.23,7605,8549.85
2016-02-01,"Cedar",16,27735.33,41887.74,3514,3711.44
2016-02-01,"Cerro Gordo",17,282700.56,425382.34,33979,34226.66
2016-02-01,"Cherokee",18,36011.73,54284.03,4871,4297.03
2016-02-01,"Chickasaw",19,23869.89,36100.4,2508,3267.85
2016-02-01,"Clarke",20,28529.21,43003.2,3325,3469.55
2016-02-01,"Clay",21,71873.73,108341.16,8557,9544.15
2016-02-01,"Clayton",22,36681.96,55189.05,4027,4378.96
2016-02-01,"Clinton",23,160426.41,240936.69,19665,18041.95
2016-02-01,"Crawford",24,65746.11,99454.12,7247,8933.04
2016-02-01,"Dallas",25,208907.97,314381.69,20293,21817.44
2016-02-01,"Davis",26,4233.96,6356.7,498,520.5
2016-02-01,"Decatur",27,9218.35,13848.39,1133,987.02
2016-02-01,"Delaware",28,56400.54,84851.75,5952,6567.27
2016-02-01,"Des Moines",29,206372.74,309785.86,25891,20698.2
2016-02-01,"Dickinson",30,151109.72,227627.82,17275,17472.47
2016-02-01,"Dubuque",31,418650.19,629190.85,46434,43997.99
2016-02-01,"Emmet",32,24945.22,37643.61,2886,3474.18
2016-02-01,"Fayette",33,87375.22,132340.25,10441,12748.78
2016-02-01,"Floyd",34,70317.9,105808.22,8049,7938.3
2016-02-01,"Franklin",35,13126.7,19869.81,1613,1868.43
2016-02-01,"Greene",37,32428.93,48796.8,3222,3686.62
2016-02-01,"Grundy",38,19820.36,29802.87,2614,2597.27
2016-02-01,"Guthrie",39,14117.42,21233.87,1860,1695.97
2016-02-01,"Hamilton",40,43535.49,65742.63,5320,5822.5
2016-02-01,"Hancock",41,14180.21,21361.53,1934,2034.62
2016-02-01,"Hardin",42,104934.83,158101.13,11407,13138.35
2016-02-01,"Harrison",43,19233.39,28902.86,2746,2468.46
2016-02-01,"Henry",44,68297.1,102782.4,8136,7713.07
2016-02-01,"Howard",45,26518.3,39889.5,2612,3432.1
2016-02-01,"Humboldt",46,37848.91,57430.55,4429,5476.72
2016-02-01,"Ida",47,34696.1,52436.07,3678,4454.68
2016-02-01,"Iowa",48,59257.96,89166.17,6301,7029.58
2016-02-01,"Jackson",49,75402.5,113511.75,9017,9191.85
2016-02-01,"Jasper",50,99974.02,150462.54,12241,12054.5
2016-02-01,"Jefferson",51,50502.85,75954.7,6218,5600.8
2016-02-01,"Johnson",52,895571.64,1344607.68,101151,91103.25
2016-02-01,"Jones",53,45756.63,69131.16,5270,6076.68
2016-02-01,"Keokuk",54,9177.16,13793.67,1254,1244.88
2016-02-01,"Kossuth",55,70610.14,106326.87,7823,8519.17
2016-02-01,"Lee",56,216322.25,324902.52,23658,22156.77
2016-02-01,"Linn",57,1412118.47,2122203.53,165728,155365.49
2016-02-01,"Louisa",58,11823.28,17749.63,2355,1343.08
2016-02-01,"Lucas",59,22998.98,34740.28,2697,2999.27
2016-02-01,"Lyon",60,34264.13,51445.07,3984,3796.25
2016-02-01,"Madison",61,41187.38,62094.63,4871,5075.79
2016-02-01,"Mahaska",62,52502.11,79093.04,6415,6283.99
2016-02-01,"Marion",63,124302.05,186938.95,12916,13401.34
2016-02-01,"Marshall",64,174251.77,262245.28,19587,19744.76
2016-02-01,"Mills",65,21161.73,31779.66,2732,2417.85
2016-02-01,"Mitchell",66,22025.66,33139.3,2551,2719.12
2016-02-01,"Monona",67,28347.11,42580.18,3419,3151.34
2016-02-01,"Monroe",68,14047.75,21114.64,1575,1635.7
2016-02-01,"Montgomery",69,27143.72,40797.18,3119,3257.01
2016-02-01,"Muscatine",70,178110.17,267786.03,21295,20498.11
2016-02-01,"O'Brien",71,57555.91,86791.81,6441,7462.99
2016-02-01,"Osceola",72,11381.99,17138.16,1255,1382.24
2016-02-01,"Page",73,37067.38,55677.42,4314,4219.62
2016-02-01,"Palo Alto",74,31974.67,48288.89,3587,4268.69
2016-02-01,"Plymouth",75,66928.08,100696.66,7593,7691.22
2016-02-01,"Pocahontas",76,17028.5,25879.33,1964,2661.37
2016-02-01,"Polk",77,3452912.05,5185550.09,388686,337352.26
2016-02-01,"Pottawattamie",78,538022.76,807768.07,62353,55804.54
2016-02-01,"Poweshiek",79,69378.82,104295.84,7970,7668.91
2016-02-01,"Ringgold",80,4994.14,7505.49,550,694.75
2016-02-01,"Sac",81,27440.42,41358.86,3037,3419.19
2016-02-01,"Scott",82,1052182.28,1579681.6,134594,108289.89
2016-02-01,"Shelby",83,44877.77,67549.29,5698,5603.29
2016-02-01,"Sioux",84,88781.47,133768.27,8773,10963.08
2016-02-01,"Story",85,484765.43,728989.87,54154,55693.83
2016-02-01,"Tama",86,37635.93,56646.16,4818,5134.71
2016-02-01,"Taylor",87,5869.2,8814.07,791,747.75
2016-02-01,"Union",88,52431.51,78983.33,5519,6148.47
2016-02-01,"Van Buren",89,10623.93,15959.52,1251,1214.62
2016-02-01,"Wapello",90,127585.68,191776.74,15752,14480.75
2016-02-01,"Warren",91,127879.29,192477.58,16298,15433.05
2016-02-01,"Washington",92,101046.57,152050.42,11098,10657.01
2016-02-01,"Wayne",93,5021.68,7551.12,620,628.63
2016-02-01,"Webster",94,192708.24,290283.48,24297,23132.11
2016-02-01,"Winnebago",95,36258.52,54495.77,4438,4464.96
2016-02-01,"Winneshiek",96,65634.49,98934.24,7159,8179.14
2016-02-01,"Woodbury",97,493857.13,741886.4,57212,51152.94
2016-02-01,"Worth",98,17787.14,26738.86,1824,2209.78
2016-02-01,"Wright",99,32455.47,48993.1,3940,4233.27
2016-03-01,"Adair",1,24226.55,36351.64,2759,2670.72
2016-03-01,"Adams",2,5965.01,8953.07,696,652.81
2016-03-01,"Allamakee",3,49209.52,73837.64,5513,5854.34
2016-03-01,"Appanoose",4,47979.37,72002.38,5473,5369.54
2016-03-01,"Audubon",5,7699.46,11551.28,997,1066.75
2016-03-01,"Benton",6,40788.02,61200.67,4910,4972.45
2016-03-01,"Black Hawk",7,918739.67,1378435.04,124068,90429.01
2016-03-01,"Boone",8,103113.88,154724.06,11843,12019.08
2016-03-01,"Bremer",9,81427.45,122194.66,8699,9090.46
2016-03-01,"Buchanan",10,57532.97,86333.66,6900,6474.58
2016-03-01,"Buena Vista",11,88124.26,132243.58,10270,9369.92
2016-03-01,"Butler",12,20731.74,31109.86,2691,2897.07
2016-03-01,"Calhoun",13,20161.88,30249.77,2584,2578.27
2016-03-01,"Carroll",14,133524.71,200348.07,14530,14595.92
2016-03-01,"Cass",15,52452.57,78693.29,5947,6066.95
2016-03-01,"Cedar",16,26401.96,39613.71,3777,3170.56
2016-03-01,"Cerro Gordo",17,309464.42,464366.91,36412,35680.49
2016-03-01,"Cherokee",18,38408.97,57640.11,5362,4626.2
2016-03-01,"Chickasaw",19,16006.66,24015,1850,2068
2016-03-01,"Clarke",20,25281.7,37938.86,2785,2842
2016-03-01,"Clay",21,83330.55,125047.3,9442,9752.59
2016-03-01,"Clayton",22,32155.91,48243.28,3407,3580.68
2016-03-01,"Clinton",23,196629.06,295011.99,23964,22457.31
2016-03-01,"Crawford",24,76754,115151.08,7984,8187.35
2016-03-01,"Dallas",25,287004.88,430595.68,24339,24731.03
2016-03-01,"Davis",26,5450.71,8180.56,643,672
2016-03-01,"Decatur",27,10195.81,15302.83,1266,1071.06
2016-03-01,"Delaware",28,39066.29,58646.93,4405,4551.08
2016-03-01,"Des Moines",29,201653.94,302549.9,23638,19274.44
2016-03-01,"Dickinson",30,142971.02,214526.38,15776,16493.9
2016-03-01,"Dubuque",31,487781.23,731861.95,54008,50765.08
2016-03-01,"Emmet",32,34219.34,51338.27,4007,4364.92
2016-03-01,"Fayette",33,72798.48,109225.03,8710,8525.43
2016-03-01,"Floyd",34,79831.15,119783.74,9395,8101.05
2016-03-01,"Franklin",35,10922.15,16386.97,1352,1462.02
2016-03-01,"Fremont",36,2081.43,3122.95,306,205.9
2016-03-01,"Greene",37,31185.49,46797.95,3609,3562.58
2016-03-01,"Grundy",38,22506.47,33770.15,2846,2953.79
2016-03-01,"Guthrie",39,14023.3,21042.3,1790,1623.62
2016-03-01,"Hamilton",40,45844.86,68814.07,5960,5275.62
2016-03-01,"Hancock",41,16225.06,24342.68,2155,2291
2016-03-01,"Hardin",42,81895.3,122886.83,8589,9825.4
2016-03-01,"Harrison",43,18569.5,27875.43,2715,2191.41
2016-03-01,"Henry",44,48371.7,72636.58,5543,5139.2
2016-03-01,"Howard",45,14079.87,21122.8,1463,1869.75
2016-03-01,"Humboldt",46,31404.04,47155.21,3835,3739.36
2016-03-01,"Ida",47,31095.94,46669.56,3408,3277.05
2016-03-01,"Iowa",48,59948.13,89957.19,6093,6515.76
2016-03-01,"Jackson",49,63299.58,94978.07,7250,7064.7
2016-03-01,"Jasper",50,78660.66,118036.35,10072,9237.67
2016-03-01,"Jefferson",51,42578.27,63877.17,4648,4349.27
2016-03-01,"Johnson",52,961775.59,1442956.81,98842,88276.29
2016-03-01,"Jones",53,44773.07,67177.65,5110,5624.88
2016-03-01,"Keokuk",54,3105.96,4660.32,477,411.74
2016-03-01,"Kossuth",55,76468.25,114794.63,8499,8750.61
2016-03-01,"Lee",56,169445.42,254215.21,19814,18033.22
2016-03-01,"Linn",57,1301007.65,1951961.58,155981,135140.33
2016-03-01,"Louisa",58,11167.64,16756.1,2101,1179.45
2016-03-01,"Lucas",59,25519.73,38304.1,3036,3002.15
2016-03-01,"Lyon",60,43567.46,65374.99,4912,4926.84
2016-03-01,"Madison",61,41096.61,61679.7,5353,4796.73
2016-03-01,"Mahaska",62,48117.71,72197.84,5892,5458.16
2016-03-01,"Marion",63,108366.31,162596.66,12626,11420.53
2016-03-01,"Marshall",64,187029.84,280634.51,20403,17708.65
2016-03-01,"Mills",65,31298.88,46961.34,4260,3460.58
2016-03-01,"Mitchell",66,28398.53,42611.27,3308,3563.8
2016-03-01,"Monona",67,31348.54,47037.23,3823,3460.61
2016-03-01,"Monroe",68,16129.1,24200.19,1778,1683.69
2016-03-01,"Montgomery",69,40425.32,60654.11,5150,4535.95
2016-03-01,"Muscatine",70,139719.05,209634.86,16517,14833.46
2016-03-01,"O'Brien",71,64357.49,96587.65,7526,7926.98
2016-03-01,"Osceola",72,13252.21,19885.52,1476,1558.56
2016-03-01,"Page",73,54548,81836.41,6091,5918.35
2016-03-01,"Palo Alto",74,38817.58,58238.34,4002,4360.16
2016-03-01,"Plymouth",75,87222.05,130859.68,9299,9778.62
2016-03-01,"Pocahontas",76,20575.91,30874.9,2447,2479.67
2016-03-01,"Polk",77,3572726.99,5360387.35,413325,338959.38
2016-03-01,"Pottawattamie",78,578708.66,868280.16,69568,57125.46
2016-03-01,"Poweshiek",79,75772.27,113697.91,8639,8106.85
2016-03-01,"Ringgold",80,9116.04,13678.76,1044,1142.54
2016-03-01,"Sac",81,29947.1,44936.63,3560,3744.26
2016-03-01,"Scott",82,1124722.41,1687449.56,139601,106335.41
2016-03-01,"Shelby",83,6799.42,10201.89,1194,980.76
2016-03-01,"Sioux",84,70535.62,105835.08,7402,7914.2
2016-03-01,"Story",85,453061.51,679768.76,50136,46707.26
2016-03-01,"Tama",86,37012.02,55541.17,5062,3995.03
2016-03-01,"Taylor",87,6767.52,10154.66,861,765.4
2016-03-01,"Union",88,55069.9,82639.3,6136,6129.69
2016-03-01,"Van Buren",89,8819.84,13232.06,915,975.2
2016-03-01,"Wapello",90,168658.01,253062.73,19863,17193.52
2016-03-01,"Warren",91,120127.28,180239.81,14468,13470.37
2016-03-01,"Washington",92,65248.84,97899.85,7977,6694.02
2016-03-01,"Wayne",93,4291.01,6444.6,454,512.63
2016-03-01,"Webster",94,194109.7,291250.01,23447,19818.36
2016-03-01,"Winnebago",95,43770.25,65674.46,5415,5443.29
2016-03-01,"Winneshiek",96,73711.29,110600.25,7968,8293.34
2016-03-01,"Woodbury",97,501782.51,752878.04,61525,51228.26
2016-03-01,"Worth",98,16251.03,24388.95,2223,2072.4
2016-03-01,"Wright",99,33483.42,50240.39,4118,4045.05
2016-04-01,"Adair",1,20044.66,30089.3,2493,2456.23
2016-04-01,"Adams",2,4587.86,6885.76,543,490.03
2016-04-01,"Allamakee",3,35400.03,53190.35,3988,4237.46
2016-04-01,"Appanoose",4,33167.37,49790.54,4409,3853.1
2016-04-01,"Audubon",5,6352.02,9542.88,840,896
2016-04-01,"Benton",6,31660.24,47610.32,4017,3924.77
2016-04-01,"Black Hawk",7,848212.68,1273407.48,111377,88899.9
2016-04-01,"Boone",8,78766.51,118416.36,9364,9609.85
2016-04-01,"Bremer",9,87809.39,131868.04,9062,9989.55
2016-04-01,"Buchanan",10,69080.01,103734.78,7985,7892.98
2016-04-01,"Buena Vista",11,86843.72,130414.07,10082,9295.41
2016-04-01,"Butler",12,15059.61,22619.39,1960,2018.26
2016-04-01,"Calhoun",13,18352.36,27559.81,2284,2370.95
2016-04-01,"Carroll",14,105869.58,158958.82,10993,11741.01
2016-04-01,"Cass",15,62220.88,93411.52,6543,7262.19
2016-04-01,"Cedar",16,21780.86,32709.26,2938,2631.98
2016-04-01,"Cerro Gordo",17,254585.2,382201.25,29462,29231.38
2016-04-01,"Cherokee",18,37793.95,56796.69,5282,4620.63
2016-04-01,"Chickasaw",19,16853.47,25298.58,1861,2084.02
2016-04-01,"Clarke",20,26910.37,40391.38,2828,3004.75
2016-04-01,"Clay",21,68370.55,102660.82,7680,8429.95
2016-04-01,"Clayton",22,30835.24,46301.64,3474,3602.3
2016-04-01,"Clinton",23,164828.07,247527.71,20067,18553.85
2016-04-01,"Crawford",24,63306.86,95007.34,7006,7120.18
2016-04-01,"Dallas",25,311658.82,467690.58,26471,29082.85
2016-04-01,"Davis",26,5180.23,7775.19,640,684
2016-04-01,"Decatur",27,9731.53,14624.38,1241,1105.03
2016-04-01,"Delaware",28,41858.74,62996.26,4870,4932.12
2016-04-01,"Des Moines",29,199369.77,299255.74,24133,19619.92
2016-04-01,"Dickinson",30,167801.21,251910.77,17525,18770.4
2016-04-01,"Dubuque",31,434087.66,652122.65,46563,44251.68
2016-04-01,"Emmet",32,23630.99,35495.11,2870,2925.46
2016-04-01,"Fayette",33,65604.4,98749.42,7725,8521.76
2016-04-01,"Floyd",34,57554.84,86534.8,6537,6453.02
2016-04-01,"Franklin",35,11185.67,16792.35,1303,1283.35
2016-04-01,"Fremont",36,1258.12,1887.62,215,163.5
2016-04-01,"Greene",37,20458.45,30720.95,2267,2360.14
2016-04-01,"Grundy",38,14586.89,21912.24,1866,1952.26
2016-04-01,"Guthrie",39,12585.01,18909.36,1584,1408.53
2016-04-01,"Hamilton",40,39839.24,59815.55,4722,4508.78
2016-04-01,"Hancock",41,14339.06,21585.93,1908,2046.37
2016-04-01,"Hardin",42,78683.72,118189.41,8380,9270.5
2016-04-01,"Harrison",43,16844.77,25290.5,2370,2097.79
2016-04-01,"Henry",44,46516.49,69850.05,5298,5102.82
2016-04-01,"Howard",45,14354.46,21544.15,1366,1822.5
2016-04-01,"Humboldt",46,31131.1,46993.92,3459,3955.52
2016-04-01,"Ida",47,24639.1,36994.66,2622,2595.34
2016-04-01,"Iowa",48,51050.53,76892.45,5552,6017.77
2016-04-01,"Jackson",49,58011.81,87153.78,6891,6785.52
2016-04-01,"Jasper",50,80020.67,120155.87,10266,10007.66
2016-04-01,"Jefferson",51,34476.06,51766.26,3969,3533.55
2016-04-01,"Johnson",52,876008,1315274.84,95824,87181.53
2016-04-01,"Jones",53,39080.34,58964.55,4444,5227.07
2016-04-01,"Keokuk",54,3458.81,5197.1,522,503.31
2016-04-01,"Kossuth",55,75702.33,114032.73,8631,9109.58
2016-04-01,"Lee",56,180901.77,271501.21,19373,17584.15
2016-04-01,"Linn",57,1235510.28,1854508.99,143348,127958.07
2016-04-01,"Louisa",58,4994.33,7497.09,817,566.39
2016-04-01,"Lucas",59,17693.16,26566.8,2050,1934.19
2016-04-01,"Lyon",60,34401.13,51633.24,4170,3898.45
2016-04-01,"Madison",61,40186.19,60330.44,5593,4758.18
2016-04-01,"Mahaska",62,42912.77,64478.02,5440,5143.61
2016-04-01,"Marion",63,110500.49,165938.35,13027,13266.39
2016-04-01,"Marshall",64,139861.39,209999.95,14903,13518.41
2016-04-01,"Mills",65,22484.91,33767.1,3112,2598.13
2016-04-01,"Mitchell",66,22234.41,33389.8,2631,2780.45
2016-04-01,"Monona",67,29137.55,43736.79,3577,3054.37
2016-04-01,"Monroe",68,21466.51,32228.65,2460,2587.16
2016-04-01,"Montgomery",69,40986.46,61507.9,4297,4212.56
2016-04-01,"Muscatine",70,161976.12,243149.84,19331,17867.5
2016-04-01,"O'Brien",71,63517.16,95393.13,7230,7794.82
2016-04-01,"Osceola",72,12995.66,19504.56,1527,1550.51
2016-04-01,"Page",73,42367.98,63590.01,4807,4670.26
2016-04-01,"Palo Alto",74,28345.73,42582.44,3269,3413.39
2016-04-01,"Plymouth",75,80424.58,120709.61,8583,8983.5
2016-04-01,"Pocahontas",76,14398.28,21703.65,1724,1887.89
2016-04-01,"Polk",77,3630032.32,5448366.1,403057,350130.59
2016-04-01,"Pottawattamie",78,516969.5,775986.72,59686,50824.22
2016-04-01,"Poweshiek",79,79283.81,118986.93,8813,8995.16
2016-04-01,"Ringgold",80,8186.71,12301.22,864,1091.6
2016-04-01,"Sac",81,26668.43,40062.62,3064,3395.1
2016-04-01,"Scott",82,1011258.84,1518385.59,124326,97467.48
2016-04-01,"Shelby",83,11575.6,17367.05,1528,1812.32
2016-04-01,"Sioux",84,71759.72,107735.28,7160,7466.64
2016-04-01,"Story",85,518328.74,778652.01,56789,54799.5
2016-04-01,"Tama",86,32934.98,49435.41,4437,4113.96
2016-04-01,"Taylor",87,5657.81,8496.77,704,666.8
2016-04-01,"Union",88,57252.67,85943.74,5902,6473.54
2016-04-01,"Van Buren",89,8634.52,12961.79,992,956.45
2016-04-01,"Wapello",90,127050.55,190795.53,15450,14592.29
2016-04-01,"Warren",91,108017.5,162252.05,14138,13382.04
2016-04-01,"Washington",92,69300.57,104028.82,8352,7163.83
2016-04-01,"Wayne",93,5594.43,8405.03,694,648.12
2016-04-01,"Webster",94,181984.24,273196.48,20724,18375.28
2016-04-01,"Winnebago",95,37171.05,55872.28,4583,4725.48
2016-04-01,"Winneshiek",96,62258.17,93465.86,6756,6963.6
2016-04-01,"Woodbury",97,469469.38,704681.41,52328,45310.61
2016-04-01,"Worth",98,11029.28,16551.4,1437,1455.83
2016-04-01,"Wright",99,28468.12,42747.89,3360,3191
2016-05-01,"Adair",1,30760.65,46277.58,3726,3734.96
2016-05-01,"Adams",2,4952.61,7444.9,611,564.61
2016-05-01,"Allamakee",3,50527.86,76050.69,5550,6208.86
2016-05-01,"Appanoose",4,61139.37,91823.56,6515,6494.65
2016-05-01,"Audubon",5,11463.76,17229.72,1615,1509.12
2016-05-01,"Benton",6,52020.31,78357.84,6267,6922.94
2016-05-01,"Black Hawk",7,888515.33,1334973.71,116329,91293.18
2016-05-01,"Boone",8,93358.17,140674.72,10998,11625.93
2016-05-01,"Bremer",9,121891.31,183171.82,12708,13713.11
2016-05-01,"Buchanan",10,87724.77,132119.84,10407,11205.8
2016-05-01,"Buena Vista",11,110900.16,167053.35,12034,12467.86
2016-05-01,"Butler",12,16204.48,24377.38,2020,2134.34
2016-05-01,"Calhoun",13,17175.08,25820.99,2086,2178.97
2016-05-01,"Carroll",14,118023.7,177661.79,12476,14208.69
2016-05-01,"Cass",15,59283.01,89333.2,6579,7390.85
2016-05-01,"Cedar",16,25670.91,38590.09,3218,2930.37
2016-05-01,"Cerro Gordo",17,302054.17,454042.79,33470,35108.7
2016-05-01,"Cherokee",18,44815.67,67392.61,6118,5404.08
2016-05-01,"Chickasaw",19,25022.44,37686.54,2700,3378.9
2016-05-01,"Clarke",20,24775.03,37228.57,2707,2669.85
2016-05-01,"Clay",21,113170.64,170378.2,13361,14085.05
2016-05-01,"Clayton",22,42100.75,63318.29,4601,5015.3
2016-05-01,"Clinton",23,164964.68,247631.8,19824,18489.11
2016-05-01,"Crawford",24,58209.99,87640.04,6015,6714.13
2016-05-01,"Dallas",25,318596.78,478802.67,28792,31165.53
2016-05-01,"Davis",26,6408.81,9628.54,752,779.25
2016-05-01,"Decatur",27,7257.66,10901.94,826,751.46
